instno,instlvl,couninstno,cityinstno,instname,fullname,shortname,status
340225014,3,340225,3402,无为县襄安镇营业所,无为县襄安镇营业所,襄安镇营业所,0
340225015,3,340225,3402,芜湖市二坝镇营业所,芜湖市二坝镇营业所,二坝镇营业所,0
340225016,3,340225,3402,无为县陡沟镇营业所,无为县陡沟镇营业所,陡沟镇营业所,0
340225017,3,340225,3402,无为县凤河路营业所,无为县凤河路营业所,凤河路营业所,0
340225018,3,340225,3402,无为县姚沟镇营业所,无为县姚沟镇营业所,姚沟镇营业所,0
340225019,3,340225,3402,无为县严桥镇营业所,无为县严桥镇营业所,严桥镇营业所,0
340225020,3,340225,3402,无为县江坝镇西营业所,无为县江坝镇西营业所,江坝镇西营业所,0
340225021,3,340225,3402,无为县黄雒营业所,无为县黄雒营业所,黄雒营业所,0
340225022,3,340225,3402,无为县泥汊镇营业所,无为县泥汊镇营业所,泥汊镇营业所,0
3403,1,000000,3403,蚌埠地区,蚌埠,蚌埠,0
340301,2,340301,3403,蚌埠市,蚌埠市,蚌埠市,0
340301002,3,340301,3403,蚌埠市胜利东路营业所,蚌埠市胜利东路营业所,胜利东路营业所,9
340301003,3,340301,3403,蚌埠市南岗营业所,蚌埠市南岗营业所,南岗营业所,0
340301004,3,340301,3403,蚌埠市东岗邮政储蓄营业所 ,蚌埠市东岗邮政储蓄营业所 ,东岗邮政储蓄营业所,0
340301007,3,340301,3403,蚌埠市荆山路营业所,蚌埠市荆山路营业所,荆山路营业所,0
340301008,3,340301,3403,蚌埠市爱国营业所,蚌埠市爱国营业所,爱国营业所,0
340301009,3,340301,3403,蚌埠市天桥营业所,蚌埠市天桥营业所,天桥营业所,0
340301010,3,340301,3403,蚌埠市解放路邮政储蓄营业所 ,蚌埠市解放路邮政储蓄营业所 ,解放路邮政储蓄营业所,0
340301011,3,340301,3403,蚌埠市延安路邮政储蓄营业所 ,蚌埠市延安路邮政储蓄营业所 ,延安路邮政储蓄营业所,0
340301013,3,340301,3403,蚌埠市雪华路邮政储蓄营业所 ,蚌埠市雪华路邮政储蓄营业所 ,雪华路邮政储蓄营业所,0
340301014,3,340301,3403,蚌埠市前进路营业所,蚌埠市前进路营业所,前进路营业所,0
340301015,3,340301,3403,蚌埠市李楼营业所,蚌埠市李楼营业所,李楼营业所,0
340301016,3,340301,3403,蚌埠市迎湖路营业所,蚌埠市迎湖路营业所,迎湖路营业所,0
340301017,3,340301,3403,蚌埠市大庆营业所,蚌埠市大庆营业所,大庆营业所,0
340301018,3,340301,3403,蚌埠市秦集营业所,蚌埠市秦集营业所,秦集营业所,0
340301019,3,340301,3403,蚌埠市陶山路营业所,蚌埠市陶山路营业所,陶山路营业所,0
340301020,3,340301,3403,蚌埠市长征路营业所,蚌埠市长征路营业所,长征路营业所,0
340301021,3,340301,3403,蚌埠市张公山营业所,蚌埠市张公山营业所,张公山营业所,0
340301022,3,340301,3403,蚌埠市淮光营业所,蚌埠市淮光营业所,淮光营业所,0
340301024,3,340301,3403,蚌埠市光彩营业所,蚌埠市光彩营业所,光彩营业所,0
340301025,3,340301,3403,蚌埠市梅桥乡营业所,蚌埠市梅桥乡营业所,梅桥乡营业所,0
340301026,3,340301,3403,蚌埠市曹老集营业所,蚌埠市曹老集营业所,曹老集营业所,0
340321,2,340321,3403,怀远县,怀远县,怀远县,0
340321002,3,340321,3403,怀远县南大街营业所,怀远县南大街营业所,南大街营业所,0
340321003,3,340321,3403,怀远县马城营业所,怀远县马城营业所,马城营业所,0
340321004,3,340321,3403,怀远县姚山营业所,怀远县姚山营业所,姚山营业所,0
340321005,3,340321,3403,怀远县双桥营业所,怀远县双桥营业所,双桥营业所,0
340321006,3,340321,3403,怀远县唐集营业所,怀远县唐集营业所,唐集营业所,0
340321007,3,340321,3403,怀远县项桥营业所,怀远县项桥营业所,项桥营业所,0
340321008,3,340321,3403,怀远县河溜营业所,怀远县河溜营业所,河溜营业所,0
340321009,3,340321,3403,怀远县常坟营业所,怀远县常坟营业所,常坟营业所,0
340321010,3,340321,3403,怀远县包集营业所,怀远县包集营业所,包集营业所,0
340321011,3,340321,3403,怀远县万福镇营业所,怀远县万福镇营业所,万福镇营业所,0
340321012,3,340321,3403,怀远县新集营业所,怀远县新集营业所,新集营业所,0
340321013,3,340321,3403,怀远县龙亢营业所,怀远县龙亢营业所,龙亢营业所,0
340321014,3,340321,3403,怀远县刘集营业所,怀远县刘集营业所,刘集营业所,0
340321015,3,340321,3403,怀远县褚集营业所,怀远县褚集营业所,褚集营业所,0
340321016,3,340321,3403,怀远县淝南营业所,怀远县淝南营业所,淝南营业所,0
340321018,3,340321,3403,怀远县孝仪营业所,怀远县孝仪营业所,孝仪营业所,0
340321019,3,340321,3403,怀远县找郢营业所,怀远县找郢营业所,找郢营业所,0
340321020,3,340321,3403,怀远县城西营业所,怀远县城西营业所,城西营业所,0
340321021,3,340321,3403,怀远县朱疃营业所,怀远县朱疃营业所,朱疃营业所,0
340321023,3,340321,3403,怀远古城营业所,怀远古城营业所,怀远古城营业所,0
340321024,3,340321,3403,怀远县文昌街营业所,怀远县文昌街营业所,文昌街营业所,0
340321025,3,340321,3403,怀远县新城区营业所,怀远县新城区营业所,新城区营业所,9
340322,2,340322,3403,五河县,五河县,五河县,0
340322001,3,340322,3403,五河县淮河路营业所,五河县淮河路营业所,淮河路营业所,0
340322002,3,340322,3403,五河县沫河口镇营业所,五河县沫河口镇营业所,沫河口镇营业所,0
340322003,3,340322,3403,五河县三铺营业所,五河县三铺营业所,三铺营业所,0
340322004,3,340322,3403,五河县大新镇营业所,五河县大新镇营业所,大新镇营业所,0
340322005,3,340322,3403,五河县浍南营业所,五河县浍南营业所,浍南营业所,0
340322006,3,340322,3403,五河县新集镇营业所,五河县新集镇营业所,新集镇营业所,0
340322007,3,340322,3403,五河县头铺营业所,五河县头铺营业所,头铺营业所,0
340322008,3,340322,3403,五河县东刘集镇营业所,五河县东刘集镇营业所,东刘集镇营业所,0
340322010,3,340322,3403,五河县申集镇营业所,五河县申集镇营业所,申集镇营业所,0
340322011,3,340322,3403,五河县双庙营业所,五河县双庙营业所,双庙营业所,0
340322012,3,340322,3403,五河县武桥营业所,五河县武桥营业所,武桥营业所,0
340322013,3,340322,3403,五河县中兴路营业所,五河县中兴路营业所,中兴路营业所,0
340322015,3,340322,3403,五河县青年路营业所,五河县青年路营业所,青年路营业所,0
340322016,3,340322,3403,五河县国防路营业所,五河县国防路营业所,国防路营业所,0
340322017,3,340322,3403,五河县小溪营业所,五河县小溪营业所,小溪营业所,0
340322021,3,340322,3403,五河县朱顶镇营业所,五河县朱顶镇营业所,朱顶镇营业所,0
340323,2,340323,3403,固镇县,固镇县,固镇县,0
340323001,3,340323,3403,固镇县胜利路营业所,固镇县胜利路营业所,胜利路营业所,0
340323002,3,340323,3403,固镇县垓下路营业所,固镇县垓下路营业所,垓下路营业所,0
340323003,3,340323,3403,固镇县任桥营业所,固镇县任桥营业所,任桥营业所,0
340323006,3,340323,3403,固镇县刘集镇营业所,固镇县刘集镇营业所,刘集镇营业所,0
340323007,3,340323,3403,固镇县湖沟镇营业所,固镇县湖沟镇营业所,湖沟镇营业所,0
340323008,3,340323,3403,固镇县王庄营业所,固镇县王庄营业所,王庄营业所,0
340323009,3,340323,3403,固镇县连站营业所,固镇县连站营业所,连站营业所,0
340323010,3,340323,3403,固镇县濠城镇营业所,固镇县濠城镇营业所,濠城镇营业所,0
340323011,3,340323,3403,固镇县石湖营业所,固镇县石湖营业所,石湖营业所,0
340323012,3,340323,3403,固镇县杨庙营业所,固镇县杨庙营业所,杨庙营业所,0
340323013,3,340323,3403,固镇县新马桥干校营业所 ,固镇县新马桥干校营业所 ,新马桥干校营业所,0
340323014,3,340323,3403,固镇县宋店营业所,固镇县宋店营业所,宋店营业所,0
340323015,3,340323,3403,固镇县董庙营业所,固镇县董庙营业所,董庙营业所,0
340323016,3,340323,3403,固镇县何集营业所,固镇县何集营业所,何集营业所,0
340323017,3,340323,3403,固镇县磨盘张营业所,固镇县磨盘张营业所,磨盘张营业所,0
340323018,3,340323,3403,固镇县瓦疃营业所,固镇县瓦疃营业所,瓦疃营业所,0
340323019,3,340323,3403,固镇县仲兴营业所,固镇县仲兴营业所,仲兴营业所,0
340323020,3,340323,3403,固镇县城东营业所,固镇县城东营业所,城东营业所,0
340323021,3,340323,3403,固镇县唐南营业所,固镇县唐南营业所,唐南营业所,0
340323022,3,340323,3403,固镇县大营路营业所,固镇县大营路营业所,大营路营业所,0
340323023,3,340323,3403,固镇县黄元路营业所,固镇县黄元路营业所,黄元路营业所,0
340323024,3,340323,3403,固镇县东郊营业所,固镇县东郊营业所,东郊营业所,0
3404,1,000000,3404,淮南地区,淮南,淮南,0
340401,2,340401,3404,淮南市,淮南市,淮南市,0
340401002,3,340401,3404,淮南市舜耕营业所,淮南市舜耕营业所,舜耕营业所,0
340401004,3,340401,3404,淮南市龙湖路营业所,淮南市龙湖路营业所,龙湖路营业所,0
340401005,3,340401,3404,淮南市朝阳东路营业所,淮南市朝阳东路营业所,朝阳东路营业所,0
340401006,3,340401,3404,淮南市东苑营业所,淮南市东苑营业所,东苑营业所,0
340401007,3,340401,3404,淮南市朝阳路营业所,淮南市朝阳路营业所,朝阳路营业所,0
340401009,3,340401,3404,淮南市田电厂路营业所,淮南市田电厂路营业所,田电厂路营业所,0
340401010,3,340401,3404,淮南市淮河新城营业所,淮南市淮河新城营业所,淮河新城营业所,0
340401011,3,340401,3404,淮南市洞山中路营业所,淮南市洞山中路营业所,洞山中路营业所,9
340401012,3,340401,3404,淮南市领城营业所,淮南市领城营业所,领城营业所,0
340401013,3,340401,3404,淮南市东风营业所,淮南市东风营业所,东风营业所,0
340401014,3,340401,3404,淮南市居仁新村营业所,淮南市居仁新村营业所,居仁新村营业所,0
340401015,3,340401,3404,淮南市淮舜南路营业所,淮南市淮舜南路营业所,淮舜南路营业所,0
340401016,3,340401,3404,淮南市纺织厂营业所,淮南市纺织厂营业所,纺织厂营业所,0
340401017,3,340401,3404,淮南市洛河镇营业所,淮南市洛河镇营业所,洛河镇营业所,0
